Year,Urban Land,Aggricultural Land,Land Conversion Rate,Urban Land Gap,Expected Population,Agricultural Scarcity Index,Mean Household Size,Income per Capita,Transport Cost per km,Agricultural Rent,Max Feasible Conversion,AMM Consistent Economic Land Conversion Demand,Land Conversion Pressure Factors,Scenario,Empirical Land Take Cap km2 per year,Urban Land Increase since 2025,Urban Land Growth Percent since 2025
2050,194660.0,1587440.0,540.0,95198.48137926112,445000000.0,0.1804015132857914,2.203549779079326,53630.60163946118,0.47,28304.509547242164,540.0,31732.827126420376,31732.827126420376,eea_recent_540_km2_per_year,540.0,12960.0,7.13263621353879
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,2.3,41650.0,0.47,30000.0,600.0,0.0,0.0,empirical_high_600_km2_per_year,600.0,0.0,0.0
2026,181700.0,1600400.0,600.0,4315.952191996505,452080000.0,0.19475383931794832,2.2874999999999996,42066.5,0.47,30000.0,600.0,1438.6507306655014,1438.6507306655014,empirical_high_600_km2_per_year,600.0,0.0,0.0
2027,182300.0,1599800.0,600.0,7968.535915611748,452360000.0,0.19430592239797642,2.2765625,42487.165,0.47,30003.718459495354,600.0,2656.1786385372493,2656.1786385372493,empirical_high_600_km2_per_year,600.0,600.0,0.3302146395156802
2028,182900.0,1599200.0,600.0,11596.170374375448,452640000.0,0.1938610886452886,2.2669921874999996,42912.738144193725,0.47,29992.885195937164,600.0,3865.390124791816,3865.390124791816,empirical_high_600_km2_per_year,600.0,1200.0,0.6604292790313604
2029,183500.0,1598600.0,600.0,15217.413353980344,452920000.0,0.19341930797834425,2.2586181640625,43343.28256707136,0.47,29970.505599396613,600.0,5072.471117993448,5072.471117993448,empirical_high_600_km2_per_year,600.0,1800.0,0.9906439185470628
2030,184100.0,1598000.0,600.0,18844.84587821123,453200000.0,0.19298055070800002,2.251290893554687,43778.862280706315,0.47,29938.98305460053,600.0,6281.615292737076,6281.615292737076,empirical_high_600_km2_per_year,600.0,2400.0,1.320858558062743
2031,184700.0,1597400.0,600.0,22250.783238892705,452960000.0,0.19232399876533413,2.2448795318603514,44219.54218775866,0.47,29900.239354096775,600.0,7416.927746297569,7416.927746297569,empirical_high_600_km2_per_year,600.0,3000.0,1.6510731975784232
2032,185300.0,1596800.0,600.0,25671.51582138834,452720000.0,0.19167167643135408,2.2392695903778073,44665.38809468202,0.47,29849.00472585664,600.0,8557.17194046278,8557.17194046278,empirical_high_600_km2_per_year,600.0,3600.0,1.9812878370941034
2033,185900.0,1596200.0,600.0,29114.63335265775,452480000.0,0.1910235427273778,2.2343608915805815,45116.4667251374,0.47,29787.907742483356,600.0,9704.87778421925,9704.87778421925,empirical_high_600_km2_per_year,600.0,4200.0,2.311502476609806
2034,186500.0,1595600.0,600.0,32586.957162334118,452240000.0,0.19037955720202565,2.2300657801330086,45572.84573361732,0.47,29719.04999880086,600.0,10862.319054111373,10862.319054111373,empirical_high_600_km2_per_year,600.0,4800.0,2.641717116125486
2035,187100.0,1595000.0,600.0,36094.732922537514,452000000.0,0.1897396799227648,2.2263075576163827,46034.59371928375,0.47,29644.111523664935,600.0,12031.577640845839,12031.577640845839,empirical_high_600_km2_per_year,600.0,5400.0,2.971931755641166
2036,187700.0,1594400.0,600.0,39563.22397469712,451600000.0,0.18903689648214975,2.2230191129143346,46501.78024002321,0.47,29564.43510915143,600.0,13187.74132489904,13187.74132489904,empirical_high_600_km2_per_year,600.0,6000.0,3.3021463951568464
2037,188300.0,1593800.0,600.0,43075.19828603012,451200000.0,0.18833851949894093,2.220141723800043,46974.47582672284,0.47,29479.029121380536,600.0,14358.399428676707,14358.399428676707,empirical_high_600_km2_per_year,600.0,6600.0,3.6323610346725266
2038,188900.0,1593200.0,600.0,46635.69954767902,450800000.0,0.18764450690329498,2.2176240083250374,47452.75199777092,0.47,29389.175313813193,600.0,15545.233182559672,15545.233182559672,empirical_high_600_km2_per_year,600.0,7200.0,3.962575674188229
2039,189500.0,1592600.0,600.0,50249.43782028777,450400000.0,0.18695481715805734,2.215421007284408,47936.681273785616,0.47,29295.897792322052,600.0,16749.81260676259,16749.81260676259,empirical_high_600_km2_per_year,600.0,7800.0,4.292790313703909
2040,190100.0,1592000.0,600.0,53920.83937153124,450000000.0,0.18626940925035493,2.2134933813738566,48426.33719257564,0.47,29200.014561130436,600.0,17973.61312384375,17973.61312384375,empirical_high_600_km2_per_year,600.0,8400.0,4.623004953219589
2041,190700.0,1591400.0,600.0,57598.84630020542,449500000.0,0.18554696415962016,2.2118067087021247,48921.79432433677,0.47,29102.178759304355,600.0,19199.615433401807,19199.615433401807,empirical_high_600_km2_per_year,600.0,9000.0,4.95321959273527
2042,191300.0,1590800.0,600.0,61340.55196138911,449000000.0,0.18482894831521596,2.210330870114359,49423.12828708809,0.47,29001.639147769645,600.0,20446.85065379637,20446.85065379637,empirical_high_600_km2_per_year,600.0,9600.0,5.283434232250972
