Year,Urban Land,Aggricultural Land,Land Conversion Rate,Urban Land Gap,Expected Population,Agricultural Scarcity Index,Populational Need of Kcal in Km2,Yield,Mean Household Size,Income per Capita,Transport Cost per km,Agricultural Rent,Scenario,Urban Expansion Adjustment Time,Urban Land Increase since 2025,Urban Land Growth Percent since 2025
2042,218143.1391005938,1563956.8608994065,3609.213133632802,36092.13133632802,449000000.0,0.1648671827246007,257845.16155929537,2161021741.2276764,2.210330870114359,49605.455363502486,0.47,27149.801190784183,original_10y,10,36443.139100593806,20.05676340153759
2043,221752.3522342266,1560347.6477657736,3724.978654136151,37249.78654136151,448500000.0,0.16237794663550956,253366.04708175364,2196776191.643411,2.2090395113500643,50151.25616122007,0.47,26802.237026333187,original_10y,10,40052.35223422659,22.0431217579673
2044,225477.33088836275,1556622.6691116374,3841.3845197921823,38413.84519792182,448000000.0,0.1598990861677294,248902.54229892266,2233677466.147787,2.2079095724313063,50708.04323512611,0.47,26447.4494788885,original_10y,10,43777.33088836275,24.093192563765964
2045,229318.71540815494,1552781.2845918452,3959.124230030243,39591.24230030243,447500000.0,0.15743361038582743,244459.9637728372,2271731908.2811165,2.206920875877393,51276.20959998715,0.47,26087.203076556852,original_10y,10,47618.71540815494,26.20732823783982
2046,233277.8396381852,1548822.160361815,4078.8345302862085,40788.345302862086,447000000.0,0.15498393677608366,240042.55577891282,2310952731.6936336,2.206055766392719,51856.16231877598,0.47,25723.002202903728,original_10y,10,51577.83963818519,28.38626287186856
2047,237356.6741684714,1544743.3258315288,4201.105851202403,42011.05851202403,446500000.0,0.1525519949631426,235653.6760615995,2351359457.915511,2.205298795593629,52448.324074719094,0.47,25356.124889150615,original_10y,10,55656.67416847139,30.631080995306228
2048,241557.7800196738,1540542.2199803262,4326.49151457884,43264.9151457884,446000000.0,0.15013931416649937,231295.95235238256,2392977457.542173,2.2046364461444257,53053.13475860633,0.47,24987.65304522831,original_10y,10,59857.78001967381,32.94319208567629
2049,245884.27153425265,1536215.7284657473,4455.515948504666,44555.159485046664,445500000.0,0.1477470967323147,226971.41383533206,2435837582.617802,2.2040568903763726,53671.05308664739,0.47,24618.499340659484,original_10y,10,64184.27153425265,35.32431014543349
2050,250339.78748275733,1531760.2125172426,4588.682091413127,45886.82091413127,445000000.0,0.14537627977685944,222681.60120596833,2479975880.4015584,2.203549779079326,54302.5582637671,0.47,24249.430976045758,original_10y,10,68639.78748275733,37.77643780008659
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,311491.0,1800000000.0,2.3,41650.0,0.47,30000.0,slow_15y,15,0.0,0.0
2026,181700.0,1600400.0,287.7301461331003,4315.952191996505,452080000.0,0.19475383931794832,311684.0444444445,1800000000.0,2.2874999999999996,42066.5,0.47,30000.0,slow_15y,15,0.0,0.0
2027,181987.7301461331,1600112.269853867,552.0537179652426,8280.80576947864,452360000.0,0.19460134401076865,311383.99828168424,1802850381.1944938,2.2765625,42487.165,0.47,30003.718459495354,slow_15y,15,287.73014613310806,0.15835451080523644
