Stage,Score Train RMSE Percent,Urban Expansion Adjustment Time,RMSE Error Percent,MAE Error Percent,Max Absolute Error Percent,Mean Error Percent,Final Year Error Percent,Reference Initial Land Demand per Capita
stage_1_adjustment_time_only,11.943186991447206,9.117719423134963,11.943186991447206,11.00368659067837,15.168409466153,-11.00368659067837,-12.294373174768483,
stage_2_adjustment_time_plus_land_demand,11.948407049601164,9.05526597873586,11.948407049601164,11.008213198223178,15.168409466153,-11.008213198223178,-12.31607736455529,0.00041405693775365445
stage_2_adjustment_time_plus_land_demand,11.952297107456484,9.096995282034786,11.952297107456484,11.01165667501212,15.168409466153,-11.01165667501212,-12.340201253757217,0.00038458948718784634
stage_2_adjustment_time_plus_land_demand,11.954107957190983,9.104551222126036,11.954107957190983,11.013248797390823,15.168409466153,-11.013248797390823,-12.350351283000645,0.0003663946339367882
stage_1_adjustment_time_only,11.956042752887585,9.526314226351557,11.956042752887585,11.01527001222087,15.168409466153,-11.01527001222087,-12.396976273522288,
stage_1_adjustment_time_only,11.961524441213166,9.709754935761028,11.961524441213166,11.020194946832476,15.168409466153,-11.020194946832476,-12.440726784748735,
stage_2_adjustment_time_plus_land_demand,11.96291348219816,9.423459337688369,11.96291348219816,11.021201479921508,15.168409466153,-11.021201479921508,-12.424345236583417,0.0003788322903111842
stage_2_adjustment_time_plus_land_demand,11.967986768616763,9.595005696045845,11.967986768616763,11.025757817365834,15.168409466153,-11.025757817365834,-12.465275003492987,0.00037903134335843283
stage_2_adjustment_time_plus_land_demand,11.96835963107833,9.708183904260162,11.96835963107833,11.026162999870374,15.168409466153,-11.026162999870374,-12.476460348070184,0.0004143320740648203
stage_2_adjustment_time_plus_land_demand,11.969939966513863,9.814474084981878,11.969939966513863,11.027614730703085,15.168409466153,-11.027614730703085,-12.493241192195713,0.00043226998755866494
stage_1_adjustment_time_only,11.971675102776011,10.065231688752142,11.971675102776011,11.029292316218433,15.168409466153,-11.029292316218433,-12.521740122690334,
stage_2_adjustment_time_plus_land_demand,11.976745766516292,10.058605906515607,11.976745766516292,11.033706952096335,15.168409466153,-11.033706952096335,-12.54787208098041,0.00043239068845602553
stage_1_adjustment_time_only,11.980873726644191,10.406439277524148,11.980873726644191,11.037511520678594,15.168409466153,-11.037511520678594,-12.595151690520073,
stage_2_adjustment_time_plus_land_demand,11.981476061343702,10.024799555020394,11.981476061343702,11.037803808194901,15.168409466153,-11.037803808194901,-12.57011338564955,0.00036193699881275737
stage_1_adjustment_time_only,11.986460380580919,10.623210430766205,11.986460380580919,11.042491835646748,15.168409466153,-11.042491835646748,-12.639734607726641,
stage_2_adjustment_time_plus_land_demand,11.99480632905781,10.720544183588228,11.99480632905781,11.049790830815093,15.168409466153,-11.049790830815093,-12.690294247372206,0.00042068209649474917
stage_2_adjustment_time_plus_land_demand,12.002250792069342,11.0171532658458,12.002250792069342,11.056395860426374,15.168409466153,-11.056395860426374,-12.749138357772951,0.00041618580165088
stage_1_adjustment_time_only,12.005404432353512,11.418007471891594,12.005404432353512,11.059315574023431,15.168409466153,-11.059315574023431,-12.790891617447983,
stage_1_adjustment_time_only,12.012994621186266,11.765190684571543,12.012994621186266,11.066028577665348,15.168409466153,-11.066028577665348,-12.851442696925933,
stage_2_adjustment_time_plus_land_demand,12.025128777041862,12.020074960514023,12.025128777041862,11.076600005007567,15.168409466153,-11.076600005007567,-12.929853468375027,0.0004005579754426082
stage_1_adjustment_time_only,12.030925339005806,12.661246256703018,12.030925339005806,11.081824846079638,15.168409466153,-11.081824846079638,-12.994450231206233,
stage_2_adjustment_time_plus_land_demand,12.031758438889007,12.24317802240947,12.031758438889007,11.082393173719007,15.168409466153,-11.082393173719007,-12.977017402971134,0.00036833975728414476
stage_2_adjustment_time_plus_land_demand,12.03595958655771,12.598322951254936,12.03595958655771,11.086132631868189,15.168409466153,-11.086132631868189,-13.017829176097816,0.0004054654473731748
stage_1_adjustment_time_only,12.042404067093608,13.29874214068594,12.042404067093608,11.091891627652972,15.168409466153,-11.091891627652972,-13.085968421743466,
stage_1_adjustment_time_only,12.044067166411251,13.395733084716568,12.044067166411251,11.093347228881308,15.168409466153,-11.093347228881308,-13.099225796414496,
stage_2_adjustment_time_plus_land_demand,12.045506613071332,13.066219445884165,12.045506613071332,11.094482891495584,15.168409466153,-11.094482891495584,-13.091401003112457,0.0003880888729393156
stage_1_adjustment_time_only,12.046042809765467,13.512562158662483,12.046042809765467,11.09507541955924,15.168409466153,-11.09507541955924,-13.114973826060078,
stage_1_adjustment_time_only,12.051438677653547,13.840874797429342,12.051438677653547,11.099790146311754,15.168409466153,-11.099790146311754,-13.157980294924391,
stage_2_adjustment_time_plus_land_demand,12.052792079956284,13.587659486584482,12.052792079956284,11.100880151285942,15.168409466153,-11.100880151285942,-13.154025165597345,0.0004111407038455721
stage_2_adjustment_time_plus_land_demand,12.055425756057124,13.74919912009085,12.055425756057124,11.10317910493919,15.168409466153,-11.10317910493919,-13.175086340175923,0.0004106823768608716
stage_2_adjustment_time_plus_land_demand,12.058265321656235,13.760026037161028,12.058265321656235,11.105611585876407,15.168409466153,-11.105611585876407,-13.190565203621516,0.00036808784593822026
stage_2_adjustment_time_plus_land_demand,12.061243322918894,13.937516372090997,12.061243322918894,11.108204776728217,15.168409466153,-11.108204776728217,-13.213974736971851,0.0003647183460215841
stage_2_adjustment_time_plus_land_demand,12.064862800294431,14.219722714834607,12.064862800294431,11.111368479337212,15.168409466153,-11.111368479337212,-13.244949590590444,0.00037546470458309976
stage_1_adjustment_time_only,12.070110725652938,15.09281319672705,12.070110725652938,11.11604562280169,15.168409466153,-11.11604562280169,-13.306746716939607,
stage_1_adjustment_time_only,12.076827763289307,15.593066501821475,12.076827763289307,11.121870895440038,15.168409466153,-11.121870895440038,-13.360241075890611,
stage_2_adjustment_time_plus_land_demand,12.080028925926861,15.309756597643355,12.080028925926861,11.124541213596162,15.168409466153,-11.124541213596162,-13.367179939138518,0.00037668114560746404
stage_2_adjustment_time_plus_land_demand,12.080082217985286,15.403552383532737,12.080082217985286,11.124605122840531,15.168409466153,-11.124605122840531,-13.370821450711492,0.0003971649165607922
stage_2_adjustment_time_plus_land_demand,12.080563283351998,15.410668381550915,12.080563283351998,11.125015988155878,15.168409466153,-11.125015988155878,-13.37362191134874,0.0003903534421426079
stage_2_adjustment_time_plus_land_demand,12.081976777722703,15.711219156256035,12.081976777722703,11.126276250961276,15.168409466153,-11.126276250961276,-13.391609415127784,0.00043354061806559523
stage_2_adjustment_time_plus_land_demand,12.085734532249528,15.720414736522192,12.085734532249528,11.129473927172665,15.168409466153,-11.129473927172665,-13.411829435767872,0.00036862397808134486
stage_1_adjustment_time_only,12.08656324793956,16.37249944781739,12.08656324793956,11.130292978577991,15.168409466153,-11.130292978577991,-13.437751307050563,
stage_1_adjustment_time_only,12.088216568207535,16.511792160208024,12.088216568207535,11.131720804473675,15.168409466153,-11.131720804473675,-13.450911605933788,
stage_2_adjustment_time_plus_land_demand,12.092339764098167,16.266413124116223,12.092339764098167,11.135181803796431,15.168409466153,-11.135181803796431,-13.464981499945914,0.00036862397808134486
stage_1_adjustment_time_only,12.096707597783158,17.261869535179176,12.096707597783158,11.139042609076869,15.168409466153,-11.139042609076869,-13.518486154007675,
stage_2_adjustment_time_plus_land_demand,12.09706514037816,16.655293854037488,12.09706514037816,11.139254565240286,15.168409466153,-11.139254565240286,-13.502291394642363,0.0003638028572256397
stage_2_adjustment_time_plus_land_demand,12.09713537295656,16.924739400461394,12.09713537295656,11.139355624785177,15.168409466153,-11.139355624785177,-13.51085605974184,0.0004190829656165558
stage_2_adjustment_time_plus_land_demand,12.099228044524748,16.98420953121419,12.099228044524748,11.141138753227015,15.168409466153,-11.141138753227015,-13.523728563653442,0.0003917431292814306
stage_2_adjustment_time_plus_land_demand,12.09965448864588,17.027255503777553,12.09965448864588,11.141506604160712,15.168409466153,-11.141506604160712,-13.5272680134775,0.0003925553988226449
stage_1_adjustment_time_only,12.099874994223926,17.55751296192757,12.099874994223926,11.141769088467099,15.168409466153,-11.141769088467099,-13.543687506632232,
